0,92,67
1,88,66
2,86,66
3,87,66
4,87,67
5,87,71
6,84,70
7,84,67
8,86,66
9,85,66
10,88,66
11,86,67
12,87,67
13,86,69
14,86,68
15,85,67
16,87,64
17,86,64
18,86,65
19,87,67
20,90,64
21,90,65
22,91,64
23,91,62
24,92,63
25,92,59
26,91,61
27,92,61
28,95,61
29,94,61
30,95,63
31,96,62
32,95,63
33,93,62
34,94,61
35,94,60
36,95,60
37,94,64
38,93,64
39,95,63
40,94,60
41,91,61
42,93,62
43,88,60
44,88,61
45,84,61
46,80,66
47,78,65
48,75,66
49,76,67
50,75,66
51,73,67
52,76,67
53,69,70
54,66,72
55,64,72
56,66,74
57,65,75
58,65,75
59,65,78
60,63,76
61,64,76
62,62,76
63,65,78
64,64,78
65,66,78
66,65,78
67,69,77
68,66,77
69,69,77
70,66,74
71,67,72
72,68,72
73,68,70
74,69,67
75,68,68
76,70,68
77,71,68
78,70,65
79,72,65
80,75,64
81,76,63
82,76,63
83,79,65
84,83,63
85,85,60
86,89,58
87,91,58
88,95,54
89,97,53
90,96,53
91,96,55
92,100,56
93,104,57
94,103,54
95,103,54
96,105,54
97,105,56
98,107,53
99,106,56
100,102,56
101,101,57
102,100,59
103,97,60
104,101,60
105,96,59
106,91,59
107,90,58
108,85,60
109,81,62
110,83,61
111,80,60
112,79,59
113,78,61
114,76,63
115,78,61
116,76,60
117,77,60
118,75,58
119,76,59
120,77,58
121,78,59
122,76,60
123,76,63
124,75,58
125,75,57
126,76,61
127,76,59
128,75,59
129,75,59
130,76,61
131,76,56
132,74,58
133,75,59
134,74,58
135,76,58
136,76,59
137,74,56
138,77,57
139,75,57
140,77,55
141,80,56
142,80,57
143,80,55
144,79,58
145,82,54
146,80,54
147,81,53
148,81,55
149,83,56
150,81,54
151,82,55
152,81,54
153,81,57
154,81,57
155,81,55
156,83,53
157,84,55
158,83,53
159,82,57
160,82,55
161,81,58
162,83,57
163,81,60
164,83,59
165,84,58
166,80,58
167,81,57
168,84,59
169,83,59
170,84,60
171,84,63
172,85,63
173,84,66
174,85,65
175,84,65
176,85,64
177,83,63
178,84,65
179,84,65
180,84,64
181,87,64
182,89,66
183,91,65
184,90,65
185,88,62
186,92,67
187,90,64
188,90,65
189,93,66
190,94,68
191,93,68
192,97,70
193,102,71
194,102,72
195,104,71
196,104,73
197,104,75
198,100,74
199,102,78
200,100,77
201,101,76
202,102,78
203,103,74
204,103,75
205,100,76
206,103,72
207,103,70
208,101,72
209,98,69
210,101,70
211,104,70
212,101,69
213,99,67
214,99,63
215,94,66
216,87,65
217,82,66
218,77,63
219,76,61
220,71,61
221,67,61
222,63,61
223,64,64
224,60,62
225,60,63
226,60,64
227,61,65
228,60,64
229,63,65
230,61,65
231,69,65
232,71,68
233,70,69
234,71,65
235,71,68
236,70,69
237,70,67
238,72,69
239,84,71
240,87,72
241,85,73
242,87,72
243,90,72
244,90,72
245,92,72
246,92,71
247,95,70
248,94,69
249,95,69
250,91,70
251,89,69
252,87,67
253,87,68
254,86,62
255,83,65
256,85,64
